"","KEGG_ID","Human1_ID","Irreversible_Human1","Irreversible.Old","Irreversible","Fil.Irreversible","Pathway","RN","Reaction_formula","C_in","C_out","C_in_name","C_out_name","M_name","Human1.EQUATION","KEGG.EC","Rhea","Gene_symbol_HSA","Human1.ECNumber","Human1.Ensembl","Human1.Symbol","New_KEGG_Symbol","Final.EC","Final.Symbol","RHEA_ID","Reactome_ID","Reactants_SL","Products_SL","SL_change","Reactome_SL","Final_SL","Final_SL_abbr","SL.confirmed","Note","is_core_pathway","Transporter_Class","Is.transport.reaction","is.reaction.group","Reaction.group.Note","is.newly.added.nucleotide.metabolism","is.nucleotide.metabolism","KEGG_module_ids","KEGG_module_names","BDRL_id","C_in_v1.1","C_out_v1.1"
"BDRL_M_671","R01666","MAR08478","FALSE","FALSE","FALSE","FALSE","Pyrimidine metabolism;Metabolic pathways;Nucleotide metabolism","rn00240;rn01100;rn01232","C00002 + C00881 <=> C00008 + C00239","C00008_n + C00239_n","C00002_n + C00881_n","ADP + dCMP","ATP + Deoxycytidine"," ADP + dCMP = ATP + Deoxycytidine ","ADP[n] + dCMP[n] + H+[n] <=> ATP[n] + deoxycytidine[n]","2.7.1.74;2.7.1.145;2.7.1.213","46043","DCK","2.7.1.74","ENSG00000156136","DCK","DCK","2.7.1.74","DCK","46040","","n","n","n","","Nucleus","n","Y","","Y","","N","N","","0","1","","","BDRL_M_671","C00008_n + C00239_n","C00002_n + C00881_n"
"BDRL_M_672","R01668","",NA,"TRUE","FALSE","TRUE","Pyrimidine metabolism;Metabolic pathways;Nucleotide metabolism","rn00240;rn01100;rn01232","C00458 + C00001 <=> C00239 + C00013","C00458_c + C00001_c","C00239_c + C00013_c","dCTP + H2O","dCMP + Diphosphate","dCTP + H2O = dCMP + Diphosphate","","3.6.1.12;3.6.1.65","22639","DCTPP1","","","","DCTPP1","3.6.1.12;3.6.1.65","DCTPP1","","","","","","","Cytosol","c","Y","","Y","","N","N","","1","1","","","BDRL_M_672","C00458_c + C00001_c","C00239_c + C00013_c"
"BDRL_M_673","R01676","MAR04518","TRUE","TRUE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Nucleotide metabolism","rn00230;rn01100;rn01232","C00242 + C00001 <=> C00385 + C00014","C00242_c + C00001_c","C00385_c + C00014_c","Guanine + H2O","Xanthine + Ammonia","Guanine + H2O = Xanthine + Ammonia","guanine[c] + H2O[c] => NH3[c] + xanthine[c]","3.5.4.3","14668","SLC25A16","3.5.4.3","ENSG00000119125","GDA","GDA","3.5.4.3","GDA","14665","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","1","M00959","Guanine ribonucleotide degradation, GMP => Urate","BDRL_M_673","C00242_c + C00001_c","C00385_c + C00014_c"
"BDRL_M_674","R01678","",NA,NA,"FALSE","TRUE","Galactose metabolism;Metabolic pathways","rn00052;rn01100","C00243 + C00001 <=> C00031 + C00124","C00243_e + C00001_e","C00031_e + C00124_e","Lactose + H2O","D-Glucose + D-Galactose","Lactose + H2O = D-Glucose + D-Galactose","","3.2.1.23;3.2.1.108",NA,"GLB1;LCT","","","","GLB1;LCT","3.2.1.23;3.2.1.108","GLB1;LCT","","","","","","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_674","C00243_e + C00001_e","C00031_e + C00124_e"
"BDRL_M_675","R01682","MAR08065","TRUE","FALSE","FALSE","TRUE","Taurine and hypotaurine metabolism;Metabolic pathways","rn00430;rn01100","C00506 <=> C00245 + C00011","C00506_c","C00245_c + C00011_c","L-Cysteate","Taurine + CO2","L-Cysteate = Taurine + CO2","H+[c] + L-cysteate[c] => CO2[c] + taurine[c]","4.1.1.15;4.1.1.29;4.1.1.122","25224","GAD1;GAD2;GADL1;CSAD","4.1.1.15;4.1.1.29","ENSG00000128683 or ENSG00000136750 or ENSG00000139631","GAD1 or GAD2 or CSAD","GAD1;GAD2;GADL1;CSAD","4.1.1.15;4.1.1.29","GAD1;GAD2;CSAD","25222;25221","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_675","C00506_c","C00245_c + C00011_c"
"BDRL_M_676","R01686","",NA,NA,"FALSE","TRUE","Taurine and hypotaurine metabolism","rn00430","C00245 + C00062 <=> C01959 + C00077","C00245_c + C00062_c","C01959_c + C00077_c","Taurine + L-Arginine","Taurocyamine + L-Ornithine","Taurine + L-Arginine = Taurocyamine + L-Ornithine","","2.1.4.1","75950","GATM","","","","GATM","2.1.4.1","GATM","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_676","C00245_c + C00062_c","C01959_c + C00077_c"
"BDRL_M_677","R01687","",NA,NA,"FALSE","TRUE","Taurine and hypotaurine metabolism","rn00430","C03193 + C00245 <=> C00012 + C05844","C03193_c + C00245_c","C00012_c + C05844_c","(5-L-Glutamyl)-peptide + Taurine","Peptide + 5-L-Glutamyl-taurine","(5-L-Glutamyl)-peptide + Taurine = Peptide + 5-L-Glutamyl-taurine","","2.3.2.2",NA,"GGT6;GGT1;GGT7;GGT5","","","","GGT6;GGT1;GGT7;GGT5","2.3.2.2","GGT6;GGT1;GGT7;GGT5","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_677","C03193_c + C00245_c","C00012_c + C05844_c"
"BDRL_M_678","R01699","",NA,"TRUE","FALSE","TRUE","","","C00022 + C15972 <=> C16255 + C00011","C00022_m + C15972_m","C16255_m + C00011_m","Pyruvate + Enzyme N6-(lipoyl)lysine","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2","Pyruvate + Enzyme N6-(lipoyl)lysine = [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2","","1.2.4.1","19192","PDHA1;PDHA2;PDHB","","","","PDHA1;PDHA2;PDHB","1.2.4.1","PDHA1;PDHA2;PDHB","","","","","","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_678","C00022_m + C15972_m","C16255_m + C00011_m"
"BDRL_M_680","R01705","",NA,NA,"FALSE","TRUE","","","C00249 + C00017 <=> C06412 + C00001","C00249_c + C00017_c","C06412_c + C00001_c","Hexadecanoic acid + Protein","Palmitoyl-protein + H2O","Hexadecanoic acid + Protein = Palmitoyl-protein + H2O","","3.1.2.22","19236","ABHD17B;PPT1;ABHD17C;ABHD17A;PPT2","","","","ABHD17B;PPT1;ABHD17C;ABHD17A;PPT2","3.1.2.22","ABHD17B;PPT1;ABHD17C;ABHD17A;PPT2","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_680","C00249_c + C00017_c","C06412_c + C00001_c"
"BDRL_M_681","R01706","MAR02182","TRUE","FALSE","FALSE","TRUE","Fatty acid biosynthesis;Metabolic pathways;Fatty acid metabolism","rn00061;rn01100;rn01212","C05764 + C00001 <=> C00229 + C00249","C05764_c + C00001_c","C00229_c + C00249_c","Hexadecanoyl-[acp] + H2O","Acyl-carrier protein + Hexadecanoic acid","Hexadecanoyl-[acp] + H2O = Acyl-carrier protein + Hexadecanoic acid","H2O[c] + hexadecanoyl-[ACP][c] => [ACP][c] + H+[c] + palmitate[c]","2.3.1.85;3.1.2.14","41935","FASN","3.1.2.14;2.3.1.85","ENSG00000152463 or ENSG00000169710","OLAH or FASN","FASN","3.1.2.14;2.3.1.85","OLAH;FASN","41932","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_681","C05764_c + C00001_c","C00229_c + C00249_c"
"BDRL_M_682","R01718","MAR09465","TRUE",NA,"FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00252 + C00001 <=> C00031","C00252_e + C00001_e","C00031_e","Isomaltose + H2O","D-Glucose","Isomaltose + H2O = D-Glucose + D-Glucose","H2O[e] + isomaltose[e] => 2 glucose[e]","3.2.1.10","68867","PMEL","3.2.1.10","ENSG00000090402","SI","SI","3.2.1.10","SI","68864","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_682","C00252_e + C00001_e","C00031_e"
"BDRL_M_683","R01724","MAR04254","TRUE",NA,"FALSE","TRUE","Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors","rn00760;rn01100;rn01240","C01185 + C00013 + C00008 + C00009 <=> C00253 + C00119 + C00002 + C00001 + C00080","C00253_c + C00119_c + C00002_c + C00001_c + C00080_c","C01185_c + C00013_c + C00008_c + C00009_c","Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + H+","Nicotinate D-ribonucleotide + Diphosphate + ADP + Orthophosphate"," Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + H+ = Nicotinate D-ribonucleotide + Diphosphate + ADP + Orthophosphate ","H+[c] + nicotinate[c] + PRPP[c] => nicotinate ribonucleotide[c] + PPi[c]","6.3.4.21","36166","NAPRT","2.4.2.11","ENSG00000147813","NAPRT","NAPRT","2.4.2.11","NAPRT","36163","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_683","C00253_c + C00119_c + C00002_c + C00001_c + C00080_c","C01185_c + C00013_c + C00008_c + C00009_c"
"BDRL_M_684","R01736","MAR03857","TRUE","FALSE","FALSE","TRUE","Pyruvate metabolism;Metabolic pathways","rn00620;rn01100","C03451 + C00001 <=> C00051 + C00256","C03451_c + C00001_c","C00051_c + C00256_c","(R)-S-Lactoylglutathione + H2O","Glutathione + (R)-Lactate","(R)-S-Lactoylglutathione + H2O = Glutathione + (R)-Lactate","(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c]","3.1.2.6","25248","HAGH","3.1.2.6","ENSG00000063854 or ENSG00000103253","HAGH or HAGHL","HAGH","3.1.2.6","HAGH","25245","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_684","C03451_c + C00001_c","C00051_c + C00256_c"
"BDRL_M_685","R01736","MAR08511","TRUE","FALSE","FALSE","TRUE","Pyruvate metabolism;Metabolic pathways","rn00620;rn01100","C03451 + C00001 <=> C00051 + C00256","C03451_m + C00001_m","C00051_m + C00256_m","(R)-S-Lactoylglutathione + H2O","Glutathione + (R)-Lactate","(R)-S-Lactoylglutathione + H2O = Glutathione + (R)-Lactate","(R)-S-lactoylglutathione[m] + H2O[m] => D-lactate[m] + GSH[m] + H+[m]","3.1.2.6","25248","HAGH","3.1.2.6","ENSG00000063854 or ENSG00000103253","HAGH or HAGHL","HAGH","3.1.2.6","HAGH","25245","","m","m","m","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_685","C03451_m + C00001_m","C00051_m + C00256_m"
"BDRL_M_686","R01737","MAR04476","FALSE",NA,"FALSE","FALSE","Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","rn00030;rn01100;rn01110;rn01120;rn01200","C00002 + C00257 <=> C00008 + C00345","C00008_c + C00345_c","C00002_c + C00257_c","ADP + 6-Phospho-D-gluconate","ATP + D-Gluconic acid"," ADP + 6-Phospho-D-gluconate = ATP + D-Gluconic acid ","6-phospho-D-gluconate[c] + ADP[c] + H+[c] <=> ATP[c] + D-gluconic acid[c]","2.7.1.12","19436","IDNK","2.3.1.57","ENSG00000148057","IDNK","IDNK","2.3.1.57","IDNK","19433","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_686","C00008_c + C00345_c","C00002_c + C00257_c"
"BDRL_M_687","R01752","MAR00456","TRUE","FALSE","FALSE","TRUE","Glycerolipid metabolism","rn00561","C00577 + C00003 + C00001 <=> C00258 + C00004 + C00080","C00577_c + C00003_c + C00001_c","C00258_c + C00004_c + C00080_c","D-Glyceraldehyde + NAD+ + H2O","D-Glycerate + NADH + H+","D-Glyceraldehyde + NAD+ + H2O = D-Glycerate + NADH + H+","glyceraldehyde[c] + H2O[c] + NAD+[c] => glycerate[c] + 2 H+[c] + NADH[c]","1.2.1.3","30786","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","1.2.1.3","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","ALDH3A2 or ALDH2 or ALDH1B1 or ALDH9A1 or ALDH7A1","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","1.2.1.3","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","30783","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_687","C00577_c + C00003_c + C00001_c","C00258_c + C00004_c + C00080_c"
"BDRL_M_688","R01752","MAR00459","TRUE","FALSE","FALSE","TRUE","Glycerolipid metabolism","rn00561","C00577 + C00003 + C00001 <=> C00258 + C00004 + C00080","C00577_m + C00003_m + C00001_m","C00258_m + C00004_m + C00080_m","D-Glyceraldehyde + NAD+ + H2O","D-Glycerate + NADH + H+","D-Glyceraldehyde + NAD+ + H2O = D-Glycerate + NADH + H+","glyceraldehyde[m] + H2O[m] + NAD+[m] => glycerate[m] + 2 H+[m] + NADH[m]","1.2.1.3","30786","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","1.2.1.3","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","ALDH3A2 or ALDH2 or ALDH1B1 or ALDH9A1 or ALDH7A1","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","1.2.1.3","ALDH2;ALDH1B1;ALDH9A1;ALDH3A2;ALDH7A1","30783","","m","m","m","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_688","C00577_m + C00003_m + C00001_m","C00258_m + C00004_m + C00080_m"
"BDRL_M_689","R01768","MAR04519","TRUE","FALSE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Nucleotide metabolism","rn00230;rn01100;rn01232","C00262 + C00003 + C00001 <=> C00385 + C00004 + C00080","C00262_c + C00003_c + C00001_c","C00385_c + C00004_c + C00080_c","Hypoxanthine + NAD+ + H2O","Xanthine + NADH + H+","Hypoxanthine + NAD+ + H2O = Xanthine + NADH + H+","H2O[c] + hypoxanthine[c] + NAD+[c] => H+[c] + NADH[c] + xanthine[c]","1.17.1.4","24673","XDH","1.17.1.4","ENSG00000158125","XDH","XDH","1.17.1.4","XDH","24671;24670","","c","c","c","cytosol","Cytosol","c","Y","","Y","","N","N","","0","1","M00958","Adenine ribonucleotide degradation, AMP => Urate","BDRL_M_689","C00262_c + C00003_c + C00001_c","C00385_c + C00004_c + C00080_c"
"BDRL_M_690","R01769","MAR08755","TRUE","FALSE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Nucleotide metabolism","rn00230;rn01100;rn01232","C00262 + C00007 + C00001 <=> C00385 + C00027","C00262_x + C00007_x + C00001_x","C00385_x + C00027_x","Hypoxanthine + Oxygen + H2O","Xanthine + Hydrogen peroxide","Hypoxanthine + Oxygen + H2O = Xanthine + Hydrogen peroxide","FAD[x] + H2O[x] + hypoxanthine[x] => FADH2[x] + xanthine[x]","1.17.3.2","68015","XDH","1.17.3.2","ENSG00000158125","XDH","XDH","1.17.3.2","XDH","68012","","x","x","x","","Peroxisome","x","Y","","Y","","N","N","","0","1","M00958","Adenine ribonucleotide degradation, AMP => Urate","BDRL_M_690","C00262_x + C00007_x + C00001_x","C00385_x + C00027_x"
"BDRL_M_691","R01769","MAR04520","TRUE","FALSE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Nucleotide metabolism","rn00230;rn01100;rn01232","C00262 + C00007 + C00001 <=> C00385 + C00027","C00262_c + C00007_c + C00001_c","C00385_c + C00027_c","Hypoxanthine + Oxygen + H2O","Xanthine + Hydrogen peroxide","Hypoxanthine + Oxygen + H2O = Xanthine + Hydrogen peroxide","H2O[c] + hypoxanthine[c] + O2[c] => H2O2[c] + xanthine[c]","1.17.3.2","68015","XDH","1.17.3.2","ENSG00000158125","XDH","XDH","1.17.3.2","XDH","68012","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","1","M00958","Adenine ribonucleotide degradation, AMP => Urate","BDRL_M_691","C00262_c + C00007_c + C00001_c","C00385_c + C00027_c"
"BDRL_M_692","R01778","",NA,"TRUE","FALSE","TRUE","Fatty acid elongation","rn00062","C00640 + C00003 <=> C00264 + C00004 + C00080","C00640_m + C00003_m","C00264_m + C00004_m + C00080_m","(3S)-3-Hydroxyacyl-CoA + NAD+","3-Oxoacyl-CoA + NADH + H+","(3S)-3-Hydroxyacyl-CoA + NAD+ = 3-Oxoacyl-CoA + NADH + H+","","1.1.1.35;1.1.1.211","22435","EHHADH;HSD17B10;HADH;HADHA","","","","EHHADH;HSD17B10;HADH;HADHA","1.1.1.35;1.1.1.211","EHHADH;HSD17B10;HADH;HADHA","","","","","","","Mitochondria","m","Y","","Y","","N","N","","0","0","M00085","Fatty acid elongation in mitochondria","BDRL_M_692","C00640_m + C00003_m","C00264_m + C00004_m + C00080_m"
"BDRL_M_693","R01778","",NA,"TRUE","FALSE","TRUE","Fatty acid elongation","rn00062","C00640 + C00003 <=> C00264 + C00004 + C00080","C00640_c + C00003_c","C00264_c + C00004_c + C00080_c","(3S)-3-Hydroxyacyl-CoA + NAD+","3-Oxoacyl-CoA + NADH + H+","(3S)-3-Hydroxyacyl-CoA + NAD+ = 3-Oxoacyl-CoA + NADH + H+","","1.1.1.35;1.1.1.211","22435","EHHADH;HSD17B10;HADH;HADHA","","","","EHHADH;HSD17B10;HADH;HADHA","1.1.1.35;1.1.1.211","EHHADH;HSD17B10;HADH;HADHA","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","M00085","Fatty acid elongation in mitochondria","BDRL_M_693","C00640_c + C00003_c","C00264_c + C00004_c + C00080_c"
"BDRL_M_694","R01778","",NA,"TRUE","FALSE","TRUE","Fatty acid elongation","rn00062","C00640 + C00003 <=> C00264 + C00004 + C00080","C00640_x + C00003_x","C00264_x + C00004_x + C00080_x","(3S)-3-Hydroxyacyl-CoA + NAD+","3-Oxoacyl-CoA + NADH + H+","(3S)-3-Hydroxyacyl-CoA + NAD+ = 3-Oxoacyl-CoA + NADH + H+","","1.1.1.35;1.1.1.211","22435","EHHADH;HSD17B10;HADH;HADHA","","","","EHHADH;HSD17B10;HADH;HADHA","1.1.1.35;1.1.1.211","EHHADH;HSD17B10;HADH;HADHA","","","","","","","Peroxisome","x","Y","","Y","","N","N","","0","0","M00085","Fatty acid elongation in mitochondria","BDRL_M_694","C00640_x + C00003_x","C00264_x + C00004_x + C00080_x"
"BDRL_M_695","R01780","",NA,"TRUE","FALSE","TRUE","","","C00091 + C01656 <=> C00042 + C00264","C00091_m + C01656_m","C00042_m + C00264_m","Succinyl-CoA + 3-Oxo acid","Succinate + 3-Oxoacyl-CoA","Succinyl-CoA + 3-Oxo acid = Succinate + 3-Oxoacyl-CoA","","2.8.3.5","24567","OXCT1;OXCT2","","","","OXCT1;OXCT2","2.8.3.5","OXCT1;OXCT2","","","","","","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_695","C00091_m + C01656_m","C00042_m + C00264_m"
"BDRL_M_696","R01787","MAR04316","FALSE",NA,"FALSE","FALSE","Fructose and mannose metabolism;Metabolic pathways","rn00051;rn01100","C00794 + C00006 <=> C00031 + C00005 + C00080","C00794_c + C00006_c","C00267_c + C00005_c + C00080_c","D-Sorbitol + NADP+","D-Glucose + NADPH + H+","D-Sorbitol + NADP+ = D-Glucose + NADPH + H+","D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]","1.1.1.21","59927","AKR1B1;AKR1B15;AKR1B10","1.1.1.21","ENSG00000085662 or ENSG00000198074","AKR1B1 or AKR1B10","AKR1B1;AKR1B15;AKR1B10","1.1.1.21","AKR1B1;AKR1B15;AKR1B10","","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_696","C00794_c + C00006_c","C00267_c + C00005_c + C00080_c"
"BDRL_M_697","R01790","MAR08583","TRUE",NA,"FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00369 + C00001 <=> C00031 + C00369","C00369_e + C00001_e","C00031_e + C00369_e","Starch + H2O","D-Glucose + Starch","Starch + H2O = D-Glucose + Starch","8 H2O[e] + starch structure 1[e] => 8 glucose[e] + starch structure 2[e]","3.2.1.3",NA,"MGAM;MGAM2","3.2.1.3","ENSG00000257335","MGAM","MGAM;MGAM2","3.2.1.3","MGAM","","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_697","C00369_e + C00001_e","C00031_e + C00369_e"
"BDRL_M_698","R01791","MAR09464","TRUE",NA,"FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00721 + C00001 <=> C00031 + C00721","C00721_c + C00001_c","C00031_c + C00721_c","Dextrin + H2O","D-Glucose + Dextrin","Dextrin + H2O = D-Glucose + Dextrin","dextrin[c] + H2O[c] => dextrin(n-1)[c] + glucose[c]","3.2.1.3;3.2.1.10",NA,"MGAM;MGAM2;PMEL","3.2.1.3;3.2.1.10","ENSG00000090402 or ENSG00000114982 or ENSG00000168137 or ENSG00000243056 or ENSG00000257335","SI or KANSL3 or SETD5 or EIF4EBP3 or MGAM","MGAM;MGAM2;SI","3.2.1.3;3.2.1.10","SI;MGAM","","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_698","C00721_c + C00001_c","C00031_c + C00721_c"
"BDRL_M_699","R01793","MAR03925","FALSE","FALSE","FALSE","FALSE","Folate biosynthesis;Metabolic pathways","rn00790;rn01100","C00268 + C00004 + C00080 <=> C00272 + C00003","C00268_c + C00004_c + C00080_c","C00272_c + C00003_c","Dihydrobiopterin + NADH + H+","Tetrahydrobiopterin + NAD+","Dihydrobiopterin + NADH + H+ = Tetrahydrobiopterin + NAD+","dihydrobiopterin[c] + H+[c] + NADH[c] <=> NAD+[c] + tetrahydrobiopterin[c]","1.5.1.34","32254","QDPR","1.5.1.34","ENSG00000151552","QDPR","QDPR","1.5.1.34","QDPR","32251","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_699","C00268_c + C00004_c + C00080_c","C00272_c + C00003_c"
"BDRL_M_700","R01794","MAR04523","FALSE","FALSE","FALSE","FALSE","Folate biosynthesis;Metabolic pathways","rn00790;rn01100","C00268 + C00005 + C00080 <=> C00272 + C00006","C00268_c + C00005_c + C00080_c","C00272_c + C00006_c","Dihydrobiopterin + NADPH + H+","Tetrahydrobiopterin + NADP+","Dihydrobiopterin + NADPH + H+ = Tetrahydrobiopterin + NADP+","dihydrobiopterin[c] + H+[c] + NADPH[c] <=> NADP+[c] + tetrahydrobiopterin[c]","1.5.1.34","32250","QDPR","1.5.1.34","ENSG00000151552","QDPR","QDPR","1.5.1.34","QDPR","32247","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_700","C00268_c + C00005_c + C00080_c","C00272_c + C00006_c"
"BDRL_M_701","R01795","",NA,"FALSE","FALSE","FALSE","Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of amino acids","rn00360;rn00400;rn01100;rn01230","C00272 + C00079 + C00007 <=> C00268 + C00082 + C00001","C00272_c + C00079_c + C00007_c","C00268_c + C00082_c + C00001_c","Tetrahydrobiopterin + L-Phenylalanine + Oxygen","Dihydrobiopterin + L-Tyrosine + H2O","Tetrahydrobiopterin + L-Phenylalanine + Oxygen = Dihydrobiopterin + L-Tyrosine + H2O","","1.14.16.1","30790","PAH","","","","PAH","1.14.16.1","PAH","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_701","C00272_c + C00079_c + C00007_c","C00268_c + C00082_c + C00001_c"
"BDRL_M_702","R01799","MAR00121","TRUE","TRUE","FALSE","TRUE","Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites","rn00564;rn01100;rn01110","C00063 + C00416 <=> C00013 + C00269","C00063_c + C00416_c","C00013_c + C00269_c","CTP + Phosphatidate","Diphosphate + CDP-diacylglycerol","CTP + Phosphatidate = Diphosphate + CDP-diacylglycerol","CTP[c] + H+[c] + phosphatidate-LD-PI pool[c] => CDP-diacylglycerol-LD-PI pool[c] + PPi[c]","2.7.7.41","16232","CHEK2;CDS2","2.7.7.41","ENSG00000101290 or ENSG00000163624","CDS2 or CDS1","CDS1;CDS2","2.7.7.41","CDS2;CDS1","16229","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","M00093","Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE","BDRL_M_702","C00063_c + C00416_c","C00013_c + C00269_c"
"BDRL_M_703","R01801","MAR01615",NA,"TRUE","FALSE","TRUE","Glycerophospholipid metabolism;Metabolic pathways","rn00564;rn01100","C00269 + C00093 <=> C00055 + C03892","C00269_c + C00093_c","C00055_c + C03892_c","CDP-diacylglycerol + sn-Glycerol 3-phosphate","CMP + Phosphatidylglycerophosphate","CDP-diacylglycerol + sn-Glycerol 3-phosphate = CMP + Phosphatidylglycerophosphate","","2.7.8.5","12596","PGS1","","","","PGS1","2.7.8.5","PGS1","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_703","C00269_c + C00093_c","C00055_c + C03892_c"
"BDRL_M_704","R01801","MAR00582",NA,"TRUE","FALSE","TRUE","Glycerophospholipid metabolism;Metabolic pathways","rn00564;rn01100","C00269 + C00093 <=> C00055 + C03892","C00269_m + C00093_m","C00055_m + C03892_m","CDP-diacylglycerol + sn-Glycerol 3-phosphate","CMP + Phosphatidylglycerophosphate","CDP-diacylglycerol + sn-Glycerol 3-phosphate = CMP + Phosphatidylglycerophosphate","","2.7.8.5","12596","PGS1","","","","PGS1","2.7.8.5","PGS1","","","","","","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_704","C00269_m + C00093_m","C00055_m + C03892_m"
"BDRL_M_705","R01802","MAR00610","TRUE","TRUE","FALSE","TRUE","Inositol phosphate metabolism;Glycerophospholipid metabolism;Metabolic pathways","rn00562;rn00564;rn01100","C00269 + C00137 <=> C00055 + C01194","C00269_c + C00137_c","C00055_c + C01194_c","CDP-diacylglycerol + myo-Inositol","CMP + 1-Phosphatidyl-D-myo-inositol","CDP-diacylglycerol + myo-Inositol = CMP + 1-Phosphatidyl-D-myo-inositol","CDP-diacylglycerol-LD-PI pool[c] + inositol[c] => CMP[c] + H+[c] + PI pool[c]","2.7.8.11","11583","CDIPT","2.7.8.11","ENSG00000103502","CDIPT","CDIPT","2.7.8.11","CDIPT","11580","","c","c","c","endoplasmic reticulum membrane","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_705","C00269_c + C00137_c","C00055_c + C01194_c"
"BDRL_M_706","R01802","MAR00613","TRUE","TRUE","FALSE","TRUE","Inositol phosphate metabolism;Glycerophospholipid metabolism;Metabolic pathways","rn00562;rn00564;rn01100","C00269 + C00137 <=> C00055 + C01194","C00269_r + C00137_r","C00055_r + C01194_r","CDP-diacylglycerol + myo-Inositol","CMP + 1-Phosphatidyl-D-myo-inositol","CDP-diacylglycerol + myo-Inositol = CMP + 1-Phosphatidyl-D-myo-inositol","CDP-diacylglycerol-LD-PI pool[r] + inositol[r] => CMP[r] + H+[r] + PI pool[r]","2.7.8.11","11583","CDIPT","2.7.8.11","ENSG00000103502","CDIPT","CDIPT","2.7.8.11","CDIPT","11580","","r","r","r","endoplasmic reticulum membrane","Endoplasmic Reticulum","r","Y","","Y","","N","N","","0","0","","","BDRL_M_706","C00269_r + C00137_r","C00055_r + C01194_r"
